GeneName	GoTerm
YAL056W	GO:0030437
YAL056W	GO:0010255
YAL056W	GO:0046580
YAL058W	GO:0006457
YAL058W	GO:0030433
YAL058W	GO:0030968
YAL059W	GO:0000055
YAL059W	GO:0042254
YAL060W	GO:0006066
YAL060W	GO:0055114
YAL060W	GO:0034079
YAL061W	GO:0055114
YAL061W	GO:0008150
YAL062W	GO:0006520
YAL062W	GO:0006537
YAL062W	GO:0055114
YAL063C	GO:0000501
YAL063C	GO:0000128
YAL063C	GO:0031589
YAL063C-A	GO:0008150
YAL064C-A	GO:0008150
YAL064W	GO:0008150
YAL064W-B	GO:0008150
YAL065C	GO:0008150
YAL067C	GO:0055085
YAL067W-A	GO:0008150
YAL068C	GO:0031505
YAL068C	GO:0030437
YAL068C	GO:0045944
YAR002C-A	GO:0006621
YAR002C-A	GO:0007030
YAR002C-A	GO:0016192
YAR002C-A	GO:0015031
YAR002C-A	GO:0006886
YAR002C-A	GO:0006888
YAR002W	GO:0051276
YAR002W	GO:0060188
YAR002W	GO:0030466
YAR002W	GO:0016973
YAR002W	GO:0008298
YAR002W	GO:0006913
YAR002W	GO:0006611
YAR002W	GO:0000972
YAR002W	GO:0006302
YAR002W	GO:0000973
YAR002W	GO:0031990
YAR002W	GO:0015031
YAR002W	GO:0051028
YAR002W	GO:0006607
YAR002W	GO:0034398
YAR003W	GO:0000723
YAR003W	GO:0006348
YAR003W	GO:0006355
YAR003W	GO:0051568
YAR007C	GO:0000723
YAR007C	GO:0051321
YAR007C	GO:0006261
YAR007C	GO:0006310
YAR007C	GO:0006260
YAR007C	GO:0006312
YAR007C	GO:0010833
YAR007C	GO:0016567
YAR007C	GO:0030491
YAR007C	GO:0045184
YAR007C	GO:0007004
YAR007C	GO:0006265
YAR007C	GO:0007131
YAR007C	GO:0006281
YAR007C	GO:0006289
YAR007C	GO:0000724
YAR007C	GO:0006268
YAR007C	GO:0000722
YAR008W	GO:0000379
YAR008W	GO:0090305
YAR008W	GO:0008033
YAR008W	GO:0090501
YAR008W	GO:0006388
YAR008W	GO:0090502
YAR009C	GO:0032197
YAR009C	GO:0006508
YAR009C	GO:0032196
YAR009C	GO:0071897
YAR009C	GO:0090305
YAR009C	GO:0090501
YAR009C	GO:0006278
YAR009C	GO:0090502
YAR009C	GO:0006310
YAR009C	GO:0015074
YAR009C	GO:0008152
YAR010C	GO:0032197
YAR014C	GO:0030837
YAR014C	GO:0032880
YAR014C	GO:0007049
